address,name,category
0x000000000000cada5eaac45821982c6772f0454f,Panoptic_v1: PanopticPool,contracts
0x000000000000cb01d6c246e3e018d45df45677e5,Aave v3 Flashloan User,infrastructure
0x000000000000cb2d80a37898be43579c7b616844,Paraswap: REDUX,contracts
0x000000000000cb83347beb24c695bbb85dbe99b7,Gnosis_safe: SafeL2_v1_3_0,contracts
0x000000000000d01ea45f9efd5c54f037fa57ea1a,Gnosis_safe: SafeL2_v1_3_0,contracts
0x000000000000d34c44564053af35e4fe271d0caa,Active NFT Minter,nft
0x000000000000d3b2c76221467d2f8c8f1de832a2,Ethereum Miner,infrastructure
0x000000000000d5775ff7721cefb8097af62e52dd,OKX 205,institution
0x000000000000d58696577347f78259bd376f1bec,Layerr_v1: LayerrMinter,contracts
0x000000000000d736bd9b915d8fe98e9c507df85a,Flashbots User,infrastructure
0x000000000000d7a5a8538c7316d75a9f5e3d6d7c,Contract Deployer,infrastructure
0x000000000000da32185407441b46e41867606d19,0x-abu.eth,social
0x000000000000dd757d6566a60534a3b9c3d98f79,,social
0x000000000000dd997ae4503feb08b8617a00e005,10512.eth,social
0x000000000000ddccf6a4f43c17d16c4b0558973a,Flashbots User,infrastructure
0x000000000000deab340f067535869a0e5226e58a,Flashbots User,infrastructure
0x000000000000def7d243dec5c1ab64be386c3cd5,Flashbots User,infrastructure
0x000000000000df8c944e775bde7af50300999283,Balancer v2 Flashloan User,infrastructure
0x000000000000e052bbf2730c643462afb680718a,Gnosis_safe: SafeL2_v1_3_0,contracts
0x000000000000e135b50c3642e265be39fbe8b823,Gnosis_safe: SafeL2_v1_3_0,contracts
0x000000000000e2202720784065ee7feada8f2daf,Flashbots User,infrastructure
0x000000000000e831d6c76fdc5868017a4aac7d26,Tornado Cash Recipient,tornado_cash
0x000000000000e88fe64e2b65189820d88186c888,Active NFT Minter,nft
0x000000000000ef5658170e8e7f6fc73614e94001,Contract Deployer,infrastructure
0x000000000000f095b1b50de78b7a6bc4697b2927,Flashbots User,infrastructure
0x000000000000f0bc41c73af48f022f8c27b5350e,MEV,infrastructure
0x000000000000f10286d9c1c5d4635a25070572b6,Active NFT Minter,nft
0x000000000000f2ef9adbed78a17dd54eb9279e68,Safe version 1.3.0L2,safe
0x000000000000f8e4fe2a98574fa81c728e340764,Across Bridge User,bridge
0x000000000000fd461ca2d54e8f4b3e37749df921,"Looksrare, X2y2, Opensea User",nft
0x000000000000fea5f4b241f9e77b4d43b76798a9,Current Top 10% NFT Trader (Volume in $USD),nft
0x00000000000111abe46ff893f3b2fdf1f759a8a8,Blur: ExecutionDelegate,contracts
0x00000000000123685885532dcb685c442dc83126,Flashbots User,infrastructure
0x0000000000013949f288172bd7e36837bddc7211,True_currency: Registry,contracts
0x0000000000015b23c7e20b0ea5ebd84c39dcbe60,626.eth,social
0x0000000000017b2a2a6a336079abc67f6f48ab9a,Looksrare_v2: StakingRewards,contracts
0x0000000000018b7ff31c69bb9a0657edcd45008f,Tornado Cash Depositor,tornado_cash
0x0000000000019fd1b96f59db200a0a54f5c63726,Ethereum Miner,infrastructure
0x000000000001a36777f9930aaeff623771b13e70,Sound_xyz: SuperMinterV2,contracts
0x000000000001c578ecc6c790296893b79b8691f7,Opensea User,nft
0x000000000001cdb57e58fa75fe420a0f4d6640d5,Aera_v3: AeraV3MultiDepositorVault,contracts
0x000000000001e5dd53ae5fb3c297341debb1e699,Contract Deployer,infrastructure
0x0000000000022da6024a5657b6a1d7f4fff03315,je-ne-regrette-rien.eth,social
0x00000000000241cb1ce930dddeb8502315e78c61,Contract Deployer,infrastructure
0x0000000000025bb48b234f8212f5104d01402f0c,Contract Deployer,infrastructure
0x000000000002705eddfc032346071effafd9dff6,Contract Deployer,infrastructure
0x0000000000027f4048d818c1c78390a248bf8402,Gnosis_safe: Safe_v1_3_0,contracts
0x0000000000029c4ab50d6c324c5ebeda855c7cd4,Contract Deployer,infrastructure
0x000000000002e33d9a86567c6dfe6d92f6777d1e,"Blur, Opensea, Looksrare User",nft
0x000000000002ff9023c1e9daf9106dd44c02b0ca,Tornado Cash Depositor,tornado_cash
0x00000000000357848314f068feca5d42e878a1d9,Contract Deployer,infrastructure
0x00000000000360176d958e11c140308cd0863679,Across Bridge User,bridge
0x0000000000036414940324055c43e75f56b7d016,Flashbots User,infrastructure
0x0000000000038a80ea0f821ad97dc5deefc5ea82,Tornado Cash Depositor,tornado_cash
0x00000000000395a387efbbff2c283c7ee389b507,Contract Deployer,infrastructure
0x000000000003c42172c0bdd69d6afb6b0bf4b488,Flashbots User,infrastructure
0x000000000003d1f6ab22cb41babbac6af81d2ad7,0xindiedev.eth,social
0x000000000003d8996a6286de5e55a463b0d60a68,Flashbots User,infrastructure
0x0000000000041572c04bc6b5e15ca8c5a0403dbe,Tornado Cash Recipient,tornado_cash
0x000000000004444c5dc75cb358380d2e3de08a90,Uniswap_v4: PoolManager,contracts
0x0000000000049e9c8e1f873de94d064d04678553,Contract Deployer,infrastructure
0x000000000004c825e42d37eed998ab91bbad7883,Contract Deployer,infrastructure
0x000000000004d4f168dae7db3c610f408ee22f57,Gnosis_safe: SafeL2_v1_3_0,contracts
0x000000000004d7463d0f9c77383600bc82d612f5,Number of three letter ENS Domains owned: 1,social
0x0000000000051666bbfbb42925c3ee5d50cf6b10,Flashbots User,infrastructure
0x0000000000055772357e58581a2a2c5c6d9e8f64,Contract Deployer,infrastructure
0x00000000000576f127d0c1729ffc59b8cab0232a,Tornado Cash Depositor and Recipient,tornado_cash
0x000000000005a989db8fcd269242ef3d9fed56a8,Opensea User,nft
0x000000000005af2ddc1a93a03e9b7014064d3b8d,Flashbots User,infrastructure
0x000000000005dec1256d94fef317fb08c79cb914,Contract Deployer,infrastructure
0x000000000005dfe874f01071d0e05f99178a5cfc,"Blur, Opensea User",nft
0x000000000005e4314ea8efd6f9ec0e8d65444384,Opensea User,nft
0x000000000005ee66002253c988e2bb2eb8e935c7,Contract Deployer,infrastructure
0x0000000000060c75d139d234616a4c14a594368f,Normie NFT Minter,nft
